"auditId"	"dueDateAudit"	"progressLabel"
"2012_1633_ET_eeg2009_toc1642"	28.2.2013 00:00:00	"Freigabe"
"2012_1635_ET_eeg2009_toc1100"	28.2.2013 00:00:00	"Freigabe"
"2012_1637_ET_eeg2009_toc553"	28.2.2013 00:00:00	"Freigabe"
"2012_1638_ET_eeg2009_toc552"	28.2.2013 00:00:00	"Freigabe"
"2012_1642_ET_eeg2009_toc279"	28.2.2013 00:00:00	"Freigabe"
"2012_1643_ET_eeg2009_toc1324"	28.2.2013 00:00:00	"Freigabe"
"2012_1644_ET_eeg2009_toc665"	28.2.2013 00:00:00	"Freigabe"
"2012_1645_ET_eeg2009_toc342"	28.2.2013 00:00:00	"Freigabe"
"2012_1647_ET_eeg2009_toc396"	28.2.2013 00:00:00	"Freigabe"
"2012_1648_ET_eeg2009_toc1569"	28.2.2013 00:00:00	"Freigabe"
"2012_1649_ET_eeg2009_toc1721"	28.2.2013 00:00:00	"Freigabe"
"2012_1650_ET_eeg2009_toc1333"	28.2.2013 00:00:00	"Freigabe"
"2012_1651_ET_eeg2009_toc273"	28.2.2013 00:00:00	"Freigabe"
"2012_1654_ET_eeg2009_toc71"	28.2.2013 00:00:00	"Freigabe"
"2012_1655_ET_eeg2009_toc131"	28.2.2013 00:00:00	"Freigabe"
"2012_1656_ET_eeg2009_toc316"	28.2.2013 00:00:00	"Freigabe"
"2012_1658_ET_eeg2009_toc1160"	28.2.2013 00:00:00	"Freigabe"
"2012_1659_ET_eeg2009_toc253"	28.2.2013 00:00:00	"Freigabe"
"2012_1660_ET_eeg2009_toc1705"	28.2.2013 00:00:00	"Freigabe"
"2012_1661_ET_eeg2009_toc1166"	28.2.2013 00:00:00	"Freigabe"
"2012_1662_ET_eeg2009_toc1164"	28.2.2013 00:00:00	"Freigabe"
"2012_1663_ET_eeg2009_toc508"	28.2.2013 00:00:00	"Freigabe"
"2012_1664_ET_eeg2009_toc795"	28.2.2013 00:00:00	"Freigabe"
"2012_1665_ET_eeg2009_toc880"	28.2.2013 00:00:00	"Freigabe"
"2012_1666_ET_eeg2009_toc805"	28.2.2013 00:00:00	"Freigabe"
"2012_1667_ET_eeg2009_toc1690"	28.2.2013 00:00:00	"Freigabe"
"2012_1668_ET_eeg2009_toc999"	28.2.2013 00:00:00	"Freigabe"
"2012_1669_ET_eeg2009_toc1356"	28.2.2013 00:00:00	"Freigabe"
"2012_1670_ET_eeg2009_toc1477"	28.2.2013 00:00:00	"Freigabe"
"2012_1671_ET_eeg2009_toc9"	28.2.2013 00:00:00	"Freigabe"
"2012_1672_ET_eeg2009_toc1409"	28.2.2013 00:00:00	"Freigabe"
"2012_1674_ET_eeg2009_toc1008"	28.2.2013 00:00:00	"Freigabe"
"2012_1675_ET_eeg2009_toc987"	28.2.2013 00:00:00	"Freigabe"
"2012_1676_ET_eeg2009_toc381"	28.2.2013 00:00:00	"Freigabe"
"2012_1677_ET_eeg2009_toc865"	28.2.2013 00:00:00	"Freigabe"
"2012_1678_ET_eeg2009_toc75"	28.2.2013 00:00:00	"Freigabe"
"2012_1679_ET_eeg2009_toc214"	28.2.2013 00:00:00	"Freigabe"
"2012_1680_ET_eeg2009_toc1387"	28.2.2013 00:00:00	"Freigabe"
"2012_1681_ET_eeg2009_toc1064"	28.2.2013 00:00:00	"Freigabe"
"2012_1683_ET_eeg2009_toc294"	28.2.2013 00:00:00	"Freigabe"
"2012_1684_ET_betrSichV_toc1378"		"Freigabe"
"2012_1684_ET_eeg2009_toc1378"	28.2.2013 00:00:00	"Freigabe"
"2012_1685_ET_eeg2009_toc1544"	28.2.2013 00:00:00	"Freigabe"
"2012_1686_ET_eeg2009_toc17"	28.2.2013 00:00:00	"Freigabe"
"2012_1687_ET_eeg2009_toc1512"	28.2.2013 00:00:00	"Freigabe"
"2012_1690_ET_eeg2009_toc680"	28.2.2013 00:00:00	"Freigabe"
"2012_1691_ET_eeg2009_toc732"	28.2.2013 00:00:00	"Freigabe"
"2012_1692_ET_eeg2009_toc664"	28.2.2013 00:00:00	"Freigabe"
"2012_1693_ET_eeg2009_toc1759"	28.2.2013 00:00:00	"Freigabe"
"2012_1694_ET_eeg2009_toc248"	28.2.2013 00:00:00	"Freigabe"
"2012_1695_ET_eeg2009_toc729"	28.2.2013 00:00:00	"Freigabe"
"2012_1696_ET_eeg2009_toc161"	28.2.2013 00:00:00	"Freigabe"
"2012_1697_ET_eeg2009_toc413"	28.2.2013 00:00:00	"Freigabe"
"2012_1698_ET_eeg2009_toc282"	28.2.2013 00:00:00	"Freigabe"
"2012_1701_ET_eeg2009_toc775"	28.2.2013 00:00:00	"Freigabe"
"2012_1705_ET_eeg2009_toc953"	28.2.2013 00:00:00	"Freigabe"
